epoch,categorical_accuracy,loss
0,0.9134517,0.2696924445727419
1,0.9737421,0.08422773530018483
2,0.9801232,0.06320424646462451
3,0.98269033,0.05363729180693949
4,0.9859542,0.04631482052655719
5,0.98676103,0.04336855779567863
6,0.9880079,0.03814007157159027
7,0.9889981,0.03783710464466698
8,0.99028164,0.03377386691685746
9,0.9918586,0.02974548273803564
